ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0007059	chromosome segregation	404	-0.697549425912277	-2.99265655129464	6.88625790147012e-57	5.64535422762521e-53	4.56885090031223e-53	1545	tags=38%, list=8%, signal=35%	SEH1L/NUDC/HNRNPU/HAUS4/CCSAP/MAD2L2/ACTB/HSPA1A/RAD21/ACTR3/GEN1/HAUS2/BCAS2/HAUS3/ANAPC15/BUB3/BCCIP/SASS6/ACTR2/SLC25A5/EML4/NEK7/DCAF13/STAG3/PHF10/RB1/DYNC1LI1/MAP3K20/RRS1/SMC2/HAUS6/HAUS1/CENPX/PLSCR1/TOP1/CHEK2/MND1/NCAPD2/DRG1/RAD18/RAN/SKA2/GPSM2/SMC1A/RMI2/INCENP/CENPL/MAPRE1/CHMP1B/KNTC1/ACTL6A/PINX1/SPDL1/FBXO5/DSN1/MIS18A/DUSP1/PSRC1/PSMC3IP/CENPQ/NCAPD3/DPF1/TUBG1/CENPO/TUBB/HAUS8/NTMT1/MZT1/XRCC3/SMC4/CENPH/HASPIN/OIP5/ZWILCH/NUP37/BRCA1/CENPN/ECT2/BRIP1/NDC1/CENPM/STIL/CDT1/KNSTRN/ESPL1/CENPK/PTTG1/SGO1/KIF4A/KIF22/KIFC1/KNL1/AURKB/PLK1/UHRF1/ASPM/CENPE/TACC3/MKI67/SGO2/SPAG5/FANCD2/NCAPG2/KIF14/SKA1/CENPI/KIF18B/DIAPH3/KIF15/CENPF/DMC1/NDC80/RACGAP1/CCNE2/NUSAP1/NCAPG/SKA3/CDCA2/TRIP13/KIF11/CDCA8/CENPW/ESCO2/KIF18A/PRC1/KIF2C/BIRC5/TTK/SPC25/MYBL2/SPC24/UBE2C/CENPU/CCNB2/ZWINT/FAM83D/CDC6/AURKA/NCAPH/HJURP/TPX2/BUB1/NEK2/CCNB1/TOP2A/KIF23/DLGAP5/BUB1B/CDC20/MAD2L1/CDK1/NUF2
GO:0000280	nuclear division	411	-0.686255464268832	-2.94378460580386	6.25862159181776e-54	2.5654089904861e-50	2.07621536280144e-50	1583	tags=34%, list=8%, signal=32%	ANKLE1/FANCM/SEH1L/NUDC/HNRNPU/CCSAP/MAD2L2/FIGNL1/HSPA1A/RAD21/ACTR3/GEN1/ANAPC15/BUB3/BCCIP/PDE3A/ACTR2/GPR3/EML4/PSMD13/DCAF13/PDXP/STAG3/RB1/DYNC1LI1/RRS1/SMC2/CENPX/RAD51C/CALR/FBXO43/CHEK2/CHEK1/BANF1/MND1/NCAPD2/MASTL/DRG1/RAN/SKA2/SMC1A/RAD54B/INCENP/MAPRE1/CHMP1B/KNTC1/MTBP/PINX1/SPDL1/FBXO5/DUSP1/BRCA2/EDN1/EPGN/PSRC1/PSMC3IP/NCAPD3/TUBG1/MZT1/XRCC3/SMC4/HASPIN/ZWILCH/RANBP1/CDC25C/BRIP1/NDC1/MYBL1/FANCA/CDT1/UBE2S/KNSTRN/ESPL1/CENPK/BORA/CKS2/PTTG1/SGO1/RAD54L/KIF4A/KIF22/KIF20B/KIFC1/KNL1/AURKB/PLK1/UHRF1/ASPM/SPHK1/CENPE/RAD51AP1/MKI67/SPAG5/FANCD2/NCAPG2/KIF14/SKA1/CENPI/KIF18B/KIF15/CENPF/DMC1/NDC80/RACGAP1/CCNE2/PKMYT1/NUSAP1/RAD51/NCAPG/SKA3/CDCA2/TRIP13/KIF11/CDCA8/KIF18A/PRC1/KIF2C/BIRC5/TTK/SPC25/MYBL2/SPC24/UBE2C/CCNB2/ZWINT/ANLN/AURKA/NCAPH/TPX2/BUB1/NEK2/CCNB1/TOP2A/KIF23/DLGAP5/EME1/BUB1B/CDC20/MAD2L1/CDK1/NUF2
GO:0098813	nuclear chromosome segregation	300	-0.719256483281741	-2.98127975985213	5.03330972301676e-48	1.03157682773228e-44	8.34867136425648e-45	1545	tags=39%, list=8%, signal=37%	SEH1L/NUDC/HNRNPU/CCSAP/MAD2L2/ACTB/HSPA1A/RAD21/ACTR3/GEN1/ANAPC15/BUB3/BCCIP/ACTR2/EML4/DCAF13/STAG3/PHF10/RB1/DYNC1LI1/MAP3K20/RRS1/SMC2/CHEK2/MND1/NCAPD2/DRG1/RAN/SKA2/SMC1A/RMI2/INCENP/MAPRE1/CHMP1B/KNTC1/ACTL6A/PINX1/SPDL1/FBXO5/DSN1/DUSP1/PSRC1/PSMC3IP/CENPQ/NCAPD3/DPF1/TUBG1/MZT1/XRCC3/SMC4/HASPIN/ZWILCH/ECT2/BRIP1/NDC1/CDT1/KNSTRN/ESPL1/CENPK/PTTG1/SGO1/KIF4A/KIF22/KIFC1/KNL1/AURKB/PLK1/UHRF1/ASPM/CENPE/TACC3/SPAG5/FANCD2/NCAPG2/KIF14/SKA1/CENPI/KIF18B/KIF15/CENPF/DMC1/NDC80/RACGAP1/CCNE2/NUSAP1/NCAPG/SKA3/TRIP13/KIF11/CDCA8/KIF18A/PRC1/KIF2C/BIRC5/TTK/SPC25/MYBL2/SPC24/UBE2C/CCNB2/ZWINT/FAM83D/CDC6/AURKA/NCAPH/TPX2/BUB1/NEK2/CCNB1/TOP2A/KIF23/DLGAP5/BUB1B/CDC20/MAD2L1/CDK1/NUF2
GO:0140014	mitotic nuclear division	272	-0.727293880378966	-3.00774923957235	3.30245122634062e-46	5.41469903070808e-43	4.38217896413156e-43	1545	tags=39%, list=8%, signal=36%	SEH1L/NUDC/HNRNPU/CCSAP/MAD2L2/HSPA1A/RAD21/GEN1/ANAPC15/BUB3/BCCIP/EML4/PDXP/RB1/DYNC1LI1/RRS1/SMC2/FBXO43/CHEK2/CHEK1/BANF1/NCAPD2/DRG1/RAN/SKA2/SMC1A/INCENP/MAPRE1/CHMP1B/KNTC1/MTBP/PINX1/SPDL1/FBXO5/DUSP1/EDN1/EPGN/PSRC1/NCAPD3/TUBG1/MZT1/XRCC3/SMC4/HASPIN/ZWILCH/RANBP1/CDC25C/CDT1/UBE2S/KNSTRN/ESPL1/CENPK/BORA/KIF4A/KIF22/KIF20B/KIFC1/KNL1/AURKB/PLK1/UHRF1/SPHK1/CENPE/MKI67/SPAG5/NCAPG2/KIF14/SKA1/CENPI/KIF18B/KIF15/CENPF/NDC80/RACGAP1/PKMYT1/NUSAP1/NCAPG/SKA3/CDCA2/TRIP13/KIF11/CDCA8/KIF18A/PRC1/KIF2C/BIRC5/TTK/SPC25/MYBL2/SPC24/UBE2C/ZWINT/ANLN/AURKA/NCAPH/TPX2/BUB1/NEK2/CCNB1/KIF23/DLGAP5/BUB1B/CDC20/MAD2L1/CDK1/NUF2
GO:0006260	DNA replication	280	-0.694691334727296	-2.8690539996346	2.9207284569793e-38	2.99301648628954e-35	2.42228308741323e-35	2054	tags=42%, list=10%, signal=38%	DTD1/TTF1/DBF4B/ORC5/RPA2/NUCKS1/LIG3/NOC3L/RECQL/DNA2/MCMBP/POLE4/SUPT16H/DONSON/RBBP7/DHX9/FANCM/FAF1/ZPR1/SET/E2F7/RPA1/PARP1/LRWD1/GEN1/POLE/DNAJC2/SSRP1/RUVBL1/RBBP8/DYNLL1/RUVBL2/POLD1/BARD1/SSBP1/CENPX/TICRR/LIG1/TOP1/GTPBP4/POLE3/CHEK1/RFWD3/DSCC1/POLB/RPA3/RFC5/RMI2/DUT/CHTF18/NASP/MMS22L/ACTL6A/UCHL5/FBXO5/RECQL4/BRCA2/ATAD5/PRIM2/POLA2/TONSL/PCNA/CACYBP/GMNN/ORC6/POLA1/TIPIN/MCM7/RFC4/TIMELESS/TRAIP/GINS3/MCM6/CDK2/MCM3/BRCA1/RRM1/CHAF1A/WDHD1/POLE2/PCLAF/RFC2/PRIM1/MCM8/CDT1/ID3/CDC7/TK1/MCM4/RNASEH2A/FEN1/GINS2/GINS1/DBF4/GMNC/ORC1/RFC3/E2F8/CDC25A/MCM2/CHAF1B/CCNE2/BLM/EXO1/RAD51/POLQ/CCNA2/DTL/MCM5/ESCO2/CDC6/CDC45/FAM111B/GINS4/MCM10/EME1/CDK1
GO:0022613	ribonucleoprotein complex biogenesis	448	-0.607563671570664	-2.62105238120729	2.13915657428844e-37	1.94853395511296e-34	1.57697121494036e-34	4258	tags=55%, list=22%, signal=44%	POP4/DHX29/SF3B5/RPL11/SNU13/U2AF2/RPP38/SDAD1/WDR55/RBM34/UTP23/ZRSR2/SURF6/EIF3M/PRPF18/DDX20/NOM1/UTP14A/TENT4B/RPL35A/RRP1B/RBFA/WDR74/HEATR3/SRPK1/EIF3K/FAU/EIF6/RPL24/LSG1/RPS24/RPS15A/MYBBP1A/RRP1/RPS9/CELF5/RPS25/MPV17L2/RRP8/EIF3G/EXOSC2/RIOX2/TFB2M/SDE2/URB1/GRWD1/ZNF622/NOP14/SF3B4/PRPF31/NUFIP1/EIF3B/USP4/ZNF593/MRM1/RRP7BP/FCF1/PDCD11/DIS3/DDX31/EIF5/BMS1/LSM2/DENR/SF3B2/DIMT1/RPS3A/EIF2S2/NCBP1/TGS1/RRP9/TSR2/TRMT61B/AATF/PES1/METTL5/WDR3/RPL26/ERCC2/XPO1/MTREX/EIF4H/RPL35/NMD3/SPOUT1/RPP30/CD2BP2/PRPF19/MRM2/C1D/SNRPD2/TSR1/RBMX2/SBDS/TSSC4/WDR43/CLP1/RPS7/PUF60/NOP10/CHD7/RIOK2/DDX27/NOL6/METTL15/SF3A3/NSA2/NAT10/SHQ1/NOC2L/MALSU1/PWP1/RRP36/SF3B3/EIF3I/WDR12/NPM3/WBP11/UTP6/RPL7L1/PRMT5/RRP7A/GEMIN5/FDXACB1/EIF4A3/NOP2/WDR46/RRN3/DDX1/NOL7/NIP7/GEMIN2/COIL/MPHOSPH6/TFB1M/UTP20/UTP4/ZNHIT6/DDX47/DHX9/LAS1L/USP39/RPUSD2/RPS19BP1/PSIP1/PNO1/FTSJ3/SRSF10/URB2/SRFBP1/NOL10/IMP4/STRAP/EIF5B/NPM1/EXOSC3/BUD23/PIN4/WDR77/GTF3A/ESF1/EXOSC4/RPF1/SRPK3/UTP11/FBL/TXNL4A/EXOSC8/TBL3/MPHOSPH10/HTATSF1/SNRPC/HSP90AB1/DDX18/DKC1/FRG1/SRSF9/GNL2/RIOK1/RPF2/C1QBP/EMG1/DCAF13/PTGES3/RUVBL1/SNRPD3/SRSF1/SNRPB/SNRPE/KRR1/XRCC5/EIF3J/NOP56/POP5/NHP2/SNRPF/RRS1/EXOSC7/SF3B6/TRMT112/BUD13/RUVBL2/DDX10/BOP1/PWP2/UTP18/GAR1/MTERF3/NOLC1/MAK16/POP7/EIF1AX/GEMIN6/SNRPB2/UTP15/GTPBP4/ERI1/PHF5A/BYSL/NOP16/AK6/RPL26L1/RPP40/RRP15/NOL11/RAN/MRTO4/CUL4B/DDX21/PA2G4/NOP58/LSM4/LSM6/UTP3/PAK1IP1/TMA16/NUP88/BRIX1/LTV1/LYAR/SNRPD1/EXOSC9/EBNA1BP2/SNRPA1/SNRPG/HSP90AA1/SUV39H1
GO:0090068	positive regulation of cell cycle process	242	-0.669848710615443	-2.72061195353322	2.30007983036613e-29	1.57133787077846e-26	1.27170203252612e-26	1489	tags=36%, list=8%, signal=34%	HNRNPU/NPM1/E2F7/FGF10/RAD21/GEN1/RDX/RHNO1/ANXA1/SASS6/CCND1/PKP4/RB1/DYNC1LI1/MAP3K20/CPSF3/PLCG2/SMC2/CENPV/RAD51C/PLSCR1/CHEK2/CHEK1/NCAPD2/PPP1R35/RAD18/GPSM2/SFPQ/CUL4B/INCENP/ADAMTS1/MTBP/CCDC15/FBXO5/CIT/EDN1/ATAD5/EPGN/SLF1/NCAPD3/XRCC3/SMC4/POC1A/RANBP1/CDC25C/RRM1/ECT2/STIL/CDC7/ESPL1/FEN1/KIF20B/DBF4/KNL1/AURKB/SPHK1/RAD51AP1/EZH2/SPAG5/NCAPG2/KIF14/E2F8/CDC25A/SKA1/NDC80/RACGAP1/CCNE2/NUSAP1/NCAPG/PLK4/SKA3/DTL/CDCA8/BIRC5/UBE2C/FAM83D/CDC6/AURKA/NCAPH/BUB1/CCNB1/KIF23/DLGAP5/RRM2/CDC20/MAD2L1/CDK1
GO:0006310	DNA recombination	312	-0.620042738315488	-2.58394853490481	2.11459085911281e-28	1.3334935279236e-25	1.07921183684114e-25	3011	tags=42%, list=15%, signal=36%	MORF4L2/SLF2/IL27RA/SMC5/KPNA1/ENDOG/SKP2/RNF138/MLH1/KDM4D/PPP4R2/KDM1A/INO80C/TOP2B/APEX2/ERCC2/ERCC6/VPS72/ASF1A/UNG/ING3/MORF4L1/RNF8/SEM1/SWI5/REC8/SHLD1/RPA2/NUCKS1/LIG3/PRMT1/CYREN/NSMCE4A/RECQL/TEX15/NSMCE1/MSH6/ANKLE1/FANCM/EXOSC3/RPA1/PARP1/ZGRF1/SWSAP1/MAD2L2/FIGNL1/ACTB/RAD21/GEN1/RHNO1/HTATSF1/ACTR2/SENP3/C1QBP/RUVBL1/XRCC5/RBBP8/XRCC4/PIF1/XRCC6/RUVBL2/BARD1/CENPX/RAD51C/LIG1/MSH2/CHEK1/MND1/RFWD3/WRAP53/CGAS/FUS/POLB/SFPQ/CLCF1/RPA3/RAD54B/RMI2/YEATS4/MMS22L/NSD2/ACTL6A/UCHL5/PSMD14/RECQL4/BRCA2/HELLS/ATAD5/UBE2N/SLF1/HMGB3/TONSL/PSMC3IP/HSPD1/XRCC2/MCM7/XRCC3/TIMELESS/HMGB1/MCM6/MCM3/BRCA1/FANCB/BRIP1/KPNA2/MCM8/CDC7/AUNIP/MCM4/RAD54L/FEN1/PARPBP/GINS2/PLK1/UHRF1/RAD51AP1/FANCD2/MCM2/DMC1/HMGB2/BLM/EXO1/RAD51/POLQ/TRIP13/MCM5/CDC45/GINS4/TOP2A/EME1/IL7R
GO:0033044	regulation of chromosome organization	232	-0.670778911120757	-2.71427578336269	3.98935240947e-28	2.33605078948822e-25	1.890593100518e-25	1780	tags=39%, list=9%, signal=36%	CDC27/NSMCE4A/FBXO4/NSMCE1/ANAPC11/GNL3/HNRNPU/HNRNPD/PARP1/MAD2L2/ACTB/RAD21/GEN1/ANAPC15/BUB3/DKC1/NEK7/PTGES3/RUVBL1/PHF10/XRCC5/RB1/DYNC1LI1/MAP3K20/CCT3/PIF1/SMC2/RUVBL2/CENPV/TCP1/CCT4/CCT7/NCAPD2/WRAP53/CCT5/SFPQ/RMI2/INCENP/CCT8/CCT2/CCT6A/KNTC1/ACTL6A/UCHL5/PINX1/SPDL1/FBXO5/DUSP1/SLF1/HNRNPA2B1/NCAPD3/DPF1/XRCC3/SMC4/HSP90AA1/HASPIN/CDK2/ZWILCH/ESPL1/FEN1/KNL1/AURKB/PLK1/CENPE/TACC3/NCAPG2/SKA1/CENPF/NDC80/NCAPG/SKA3/TRIP13/CDCA8/BIRC5/TTK/SPC25/SPC24/UBE2C/ZWINT/CDC6/NCAPH/BUB1/NEK2/CCNB1/DLGAP5/BUB1B/CDC20/MAD2L1/CDK1/NUF2
GO:0044772	mitotic cell cycle phase transition	419	-0.562708053699173	-2.41354574408126	5.9244154342707e-27	3.23789051534341e-24	2.62046248997952e-24	2396	tags=33%, list=12%, signal=30%	WEE1/NAE1/ANAPC7/RCC1/MBTPS2/ZNF830/DACT1/ECD/RIOK2/PSME2/CDK2AP2/CCNH/ZW10/DBF4B/IK/RPA2/CALM2/CDC27/CALM1/HSPA2/KHDRBS1/ANAPC11/DONSON/RINT1/CUL2/GSPT1/PPP2CA/PTPN6/E2F7/FGF10/MAD2L2/ACTB/PPME1/PSME3/RAD21/GEN1/RDX/ANAPC15/BUB3/ANXA1/EIF4E/SASS6/CCND1/POLE/MNAT1/PHF10/RBBP8/RB1/DYNC1LI1/MAP3K20/CPSF3/CDKN2D/BARD1/RAD51C/TICRR/GTPBP4/CHEK2/CHEK1/RFWD3/MASTL/NES/CUL4B/INCENP/ADAMTS1/CDK7/KNTC1/MTBP/ACTL6A/PINX1/SPDL1/FBXO5/DUSP1/PLK2/FOXM1/ATAD5/ID4/RBL1/DPF1/CDKN2C/XRCC3/CCNF/HASPIN/CDK2/ZWILCH/BRCA1/CDC25C/RRM1/STIL/UBE2S/CDC7/ESPL1/CKS2/DBF4/KNL1/AURKB/PLK1/CENPE/ORC1/TACC3/EZH2/IQGAP3/KIF14/MYB/CDC25A/SKA1/E2F1/MELK/CENPF/NDC80/CCNE2/PKMYT1/BLM/CDKN3/SKA3/CCNA2/DTL/TRIP13/CLSPN/CDCA8/BIRC5/TTK/SPC25/SPC24/UBE2C/CCNB2/ZWINT/CDC6/ANLN/AURKA/BUB1/CCNB1/DLGAP5/RRM2/BUB1B/CDC20/MAD2L1/CDK1/NUF2
GO:0007346	regulation of mitotic cell cycle	475	-0.542457432971401	-2.35275832823994	9.1284080889482e-27	4.61858648507061e-24	3.73787581250883e-24	1489	tags=26%, list=8%, signal=24%	HNRNPU/PPP2CA/PTPN6/ASAH2/E2F7/FGF10/MAD2L2/ACTB/PSME3/RAD21/GEN1/RDX/ANAPC15/BUB3/ANXA1/EIF4E/SASS6/CCND1/MNAT1/YWHAE/NEK7/PDXP/PHF10/RBBP8/RB1/DYNC1LI1/MAP3K20/CPSF3/CDKN2D/BARD1/RAD51C/FBXO43/TICRR/MSH2/GTPBP4/CHEK2/CHEK1/THAP1/RFWD3/MASTL/GAS1/RPA3/CUL4B/INCENP/ADAMTS1/CDK7/KNTC1/MTBP/ACTL6A/PINX1/SPDL1/FBXO5/DUSP1/BRCA2/EDN1/FOXM1/ATAD5/EPGN/GMNN/RBL1/DPF1/TIPIN/CDKN2C/XRCC3/HASPIN/CDK2/ZWILCH/BRCA1/CDC25C/RRM1/CKS1B/STIL/CDC7/ESPL1/BORA/CKS2/KIF20B/KNL1/AURKB/PLK1/SPHK1/CENPE/ORC1/MKI67/EZH2/FANCD2/KIF14/CDC25A/SKA1/E2F1/CENPF/NDC80/CCNE2/PKMYT1/BLM/NUSAP1/SKA3/DTL/CDCA2/TRIP13/CLSPN/CDCA8/BIRC5/TTK/SPC25/SPC24/UBE2C/ZWINT/CDC6/ANLN/AURKA/BUB1/NEK2/CCNB1/DLGAP5/EME1/RRM2/BUB1B/CDC20/MAD2L1/CDK1/NUF2
GO:0051783	regulation of nuclear division	134	-0.752755689679624	-2.82628385883116	2.47252937067431e-26	1.12609976559933e-23	9.113656504889e-24	1362	tags=43%, list=7%, signal=41%	MAD2L2/RAD21/GEN1/ANAPC15/BUB3/PDE3A/GPR3/PDXP/RB1/DYNC1LI1/CALR/FBXO43/CHEK1/INCENP/KNTC1/MTBP/SPDL1/FBXO5/DUSP1/EDN1/EPGN/XRCC3/HASPIN/ZWILCH/CDC25C/ESPL1/BORA/KIF20B/KNL1/AURKB/PLK1/SPHK1/RAD51AP1/MKI67/SKA1/CENPF/NDC80/PKMYT1/NUSAP1/SKA3/CDCA2/TRIP13/CDCA8/BIRC5/TTK/SPC25/SPC24/UBE2C/ZWINT/AURKA/BUB1/NEK2/CCNB1/DLGAP5/BUB1B/CDC20/MAD2L1/NUF2
GO:0007088	regulation of mitotic nuclear division	112	-0.785795193215294	-2.86076519302084	2.61085049721391e-26	1.12651328295577e-23	9.11700314899683e-24	1362	tags=48%, list=7%, signal=45%	MAD2L2/RAD21/GEN1/ANAPC15/BUB3/PDXP/RB1/DYNC1LI1/FBXO43/CHEK1/INCENP/KNTC1/MTBP/SPDL1/FBXO5/DUSP1/EDN1/EPGN/XRCC3/HASPIN/ZWILCH/CDC25C/ESPL1/BORA/KIF20B/KNL1/AURKB/PLK1/SPHK1/MKI67/SKA1/CENPF/NDC80/PKMYT1/NUSAP1/SKA3/CDCA2/TRIP13/CDCA8/BIRC5/TTK/SPC25/SPC24/UBE2C/ZWINT/AURKA/BUB1/NEK2/CCNB1/DLGAP5/BUB1B/CDC20/MAD2L1/NUF2
GO:0051321	meiotic cell cycle	255	-0.640262601975525	-2.61888949479171	7.26096234303352e-26	2.97626846440944e-23	2.40872871832317e-23	1780	tags=32%, list=9%, signal=30%	CDC27/TEX15/HSPA2/ANAPC11/MSH6/ANKLE1/FANCM/NSUN2/PPP2CA/MNS1/RPA1/FIGNL1/RAD21/ACTR3/ANAPC15/BUB3/PDE3A/ACTR2/GPR3/PSMD13/DCAF13/STAG3/RBBP8/SMC2/CENPX/RAD51C/CALR/FBXO43/MND1/NCAPD2/MASTL/SKA2/SMC1A/RAD54B/INCENP/FBXO5/DUSP1/BRCA2/EDN1/PSMC3IP/NCAPD3/TUBG1/XRCC2/SMC4/CDK2/CDC25C/BRIP1/NDC1/MYBL1/FANCA/ESPL1/CKS2/PTTG1/SGO1/RAD54L/KNL1/PLK1/ASPM/RAD51AP1/SGO2/FANCD2/CDC25A/SKA1/DMC1/NDC80/CCNE2/PKMYT1/EXO1/RAD51/SKA3/TRIP13/KIF18A/TTK/CCNB2/ZWINT/AURKA/NCAPH/NEK2/TOP2A/EME1/CDC20/NUF2
GO:0051983	regulation of chromosome segregation	126	-0.749167883222921	-2.78782655107036	7.75315385425421e-25	2.54241421188704e-22	2.05760542077323e-22	1362	tags=46%, list=7%, signal=43%	MAD2L2/ACTB/RAD21/GEN1/ANAPC15/BUB3/PHF10/RB1/DYNC1LI1/MAP3K20/SMC2/PLSCR1/NCAPD2/RAD18/RMI2/INCENP/KNTC1/ACTL6A/SPDL1/FBXO5/DUSP1/NCAPD3/DPF1/XRCC3/SMC4/HASPIN/ZWILCH/ESPL1/KNL1/AURKB/PLK1/CENPE/TACC3/NCAPG2/SKA1/CENPF/NDC80/NCAPG/SKA3/TRIP13/CDCA8/KIF2C/BIRC5/TTK/SPC25/SPC24/UBE2C/ZWINT/CDC6/NCAPH/BUB1/CCNB1/DLGAP5/BUB1B/CDC20/MAD2L1/CDK1/NUF2
GO:0006364	rRNA processing	217	-0.644322140453654	-2.58154552728936	1.94162172287105e-23	5.30580496136562e-21	4.29404972605482e-21	4258	tags=62%, list=22%, signal=49%	POP4/RPL11/SNU13/RPP38/WDR55/RBM34/UTP23/UTP14A/TENT4B/RPL35A/RRP1B/RBFA/WDR74/EIF6/RPS24/RRP1/RPS25/RRP8/EXOSC2/TFB2M/SDE2/URB1/NOP14/MRM1/RRP7BP/FCF1/PDCD11/DIS3/BMS1/DIMT1/RRP9/TSR2/TRMT61B/PES1/METTL5/WDR3/RPL26/ERCC2/MTREX/RPL35/SPOUT1/RPP30/MRM2/C1D/TSR1/SBDS/WDR43/RPS7/NOP10/CHD7/RIOK2/DDX27/NOL6/METTL15/NSA2/NAT10/PWP1/RRP36/WDR12/NPM3/WBP11/UTP6/RPL7L1/RRP7A/FDXACB1/EIF4A3/NOP2/WDR46/NOL7/MPHOSPH6/TFB1M/UTP20/UTP4/ZNHIT6/DDX47/LAS1L/RPUSD2/FTSJ3/SRFBP1/NOL10/IMP4/EXOSC3/BUD23/PIN4/ESF1/EXOSC4/RPF1/UTP11/FBL/EXOSC8/TBL3/MPHOSPH10/DDX18/DKC1/FRG1/RIOK1/RPF2/EMG1/DCAF13/KRR1/NOP56/POP5/NHP2/RRS1/EXOSC7/TRMT112/DDX10/BOP1/PWP2/UTP18/GAR1/NOLC1/MAK16/POP7/UTP15/GTPBP4/ERI1/BYSL/AK6/RPP40/RRP15/NOL11/MRTO4/DDX21/PA2G4/NOP58/LSM6/UTP3/PAK1IP1/BRIX1/LYAR/EXOSC9/EBNA1BP2/SUV39H1
GO:0050000	chromosome localization	117	-0.747568180618151	-2.75987954153965	6.33991282525001e-22	1.36775277214209e-19	1.10693824203742e-19	1545	tags=43%, list=8%, signal=40%	SEH1L/NUDC/HNRNPU/ACTR3/BUB3/ACTR2/EML4/RB1/RRS1/SKA2/INCENP/MAPRE1/CHMP1B/KNTC1/PINX1/SPDL1/DSN1/PSRC1/CENPQ/ZWILCH/ECT2/CDT1/KNSTRN/SGO1/KIF22/KIFC1/KNL1/AURKB/CENPE/SPAG5/KIF14/SKA1/CENPF/NDC80/RACGAP1/SKA3/CDCA8/KIF18A/KIF2C/BIRC5/TTK/SPC25/SPC24/ZWINT/FAM83D/NEK2/CCNB1/DLGAP5/CDK1/NUF2
GO:0016072	rRNA metabolic process	258	-0.595033418143607	-2.42950853847102	1.50806249590688e-20	2.62833528949571e-18	2.12714234918548e-18	4315	tags=59%, list=22%, signal=47%	PIH1D1/SMARCB1/POLR2E/POP4/RPL11/SNU13/RPP38/WDR55/RBM34/UTP23/POLR1B/UTP14A/TENT4B/RPL35A/RRP1B/RBFA/WDR74/EIF6/RPS24/RRP1/RPS25/RRP8/EXOSC2/TFB2M/SDE2/URB1/CAVIN1/NOP14/MRM1/RRP7BP/FCF1/PDCD11/DIS3/BMS1/DIMT1/GTF3C3/RRP9/TSR2/SMARCA4/TRMT61B/PES1/METTL5/WDR3/RPL26/ERCC2/MTREX/ERCC6/RPL35/SPOUT1/RPP30/MRM2/TCOF1/C1D/TSR1/SBDS/WDR43/RPS7/IPPK/NOP10/CHD7/RIOK2/DDX27/NOL6/METTL15/NSA2/NAT10/PWP1/RRP36/WDR12/TRIR/NPM3/WBP11/UTP6/RPL7L1/RRP7A/FDXACB1/EIF4A3/NOP2/WDR46/NOL7/MPHOSPH6/TFB1M/SLFN12/UTP20/UTP4/ZNHIT6/DDX47/GTF3C6/LAS1L/RPUSD2/FTSJ3/SRFBP1/NOL10/IMP4/EXOSC3/BUD23/PIN4/GTF3A/ESF1/EXOSC4/RPF1/UTP11/FBL/EXOSC8/TBL3/MPHOSPH10/SLFN13/DDX18/DKC1/FRG1/RIOK1/NIFK/RPF2/EMG1/DCAF13/KRR1/NOP56/POP5/NHP2/RRS1/EXOSC7/TRMT112/NCL/DDX10/BOP1/PWP2/UTP18/GAR1/NOLC1/MAK16/POP7/UTP15/TOP1/GTPBP4/ERI1/BYSL/AK6/RPP40/RRP15/NOL11/MRTO4/DDX21/PA2G4/NOP58/LSM6/UTP3/PAK1IP1/BRIX1/LYAR/EXOSC9/EBNA1BP2/SUV39H1
